tornado
	2015-04-21 00:22:05Stuck on a runway en route to Houston. Torrential downpour (lightening &amp; tornado watch!) Yet feeling like this LOL http://t.co/STSp8KFMae
	2015-04-21 00:22:01Lots of lightening just Northwest of us, and chilly.
	2015-04-21 00:21:58It's storming but it's so cool! The lightening is right there pretty much, so cool
	2015-04-21 00:21:42I love rain but hate thunder and lightening
	2015-04-21 00:21:35I am seeing mucho lightening to the east ... Ashburn. Looks intense.
	2015-04-21 00:21:28oh. that's lightening.
	2015-04-21 00:21:20Everyone stay inside I stuck my head out the door and the lightening's electricity made my hair stand up
	2015-04-21 00:21:06Imagine the sailors of old, watching a lightening storm unfold before them: Zeus, the thunderer.
	2015-04-21 00:21:06Lightening
	2015-04-21 00:21:06RT @scm1133: Lots of lightening in #courthouse @capitalweather @ARLnowDOTcom #ArlingtonVA http://t.co/RdpU3CNkhY
	2015-04-21 00:21:03yes that is lightening not the light of jesus http://t.co/Zun5ozBYCW
	2015-04-21 00:20:49Thunder &amp; Lightening over head. Even saw orange clouds as it started.  @suepalkafox5dc @ameliasegal @capitalweather http://t.co/YD8YXnnvP1
	2015-04-21 00:20:29Grease lightening!!!!
	2015-04-21 00:20:27@RaginCajun72   so beautiful before the storm!  Lightening show near U of MD!
	2015-04-21 00:20:23Is anyone else watching this lightening storm? Is so cool!
	2015-04-21 00:20:16Fuck storms, i hate lightening but am cool with thunder #FuckStorms
asteroid
	2015-04-21 00:23:43Awkwardly jumps into sleeping bag
	2015-04-21 00:22:44@info: Asteroid Seukuran Bus Terdekat Lintasi Bumi[Vivanews]  -
	2015-04-21 00:22:44@info: Asteroid Seukuran Bus Terdekat Lintasi Bumi[Vivanews]  -
	2015-04-21 00:22:41Asteroid Seukuran Bus Terdekat Lintasi Bumi[Vivanews]: Asteroid 2015 HD1 pertama kali ditemukan 18 April 2015. http://t.co/ucr1pySgij
	2015-04-21 00:22:39Asteroid Seukuran Bus Terdekat Lintasi Bumi[Vivanews]: Asteroid 2015 HD1 pertama kali ditemukan 18 April 2015. http://t.co/naZT6Xtk2Q
	2015-04-21 00:22:34RT @nyrath: Up in ARMs for No Good Reason (asteroid redirect mission) http://t.co/2shSy3Q8Lx
	2015-04-21 00:22:23RT @fimecyzizefi: 15 Apr 2015 - Asteroid Named for Nobel Prize Winner Joins Historic Lineup
	2015-04-21 00:22:17Photoset: space-facts: The Asteroid Belt The majority of asteroids in the solar system are found in the... http://t.co/JA3zd30mW1
	2015-04-21 00:21:15RT @earthskyscience: Asteroid will miss Earth Tuesday morning ... but not by much.
