tornado
	2015-04-20 23:57:56Tornado watch in Maryland ?
	2015-04-20 23:57:56RT @abc27News: Recap: The tornado threat remains in Northern Cumberland County and Southeastern Perry County #27Weather #27News
	2015-04-20 23:57:56I hate tornado watches....
	2015-04-20 23:57:55Tornado warning asshole
	2015-04-20 23:57:45Let a tornado come... I sleep in the basement anyways... All nice down here
	2015-04-20 23:57:44RT @fox5newsdc: Severe Thunderstorm Warning issued until 8:30 pm for DC and several counties in MD, VA. MORE: http://t.co/t19OSFhwGw #fox5dc
	2015-04-20 23:57:43@staticacumen thanks
	2015-04-20 23:57:42God's pissed off at all you stoner junkies and is smiting your 420 ways with a tornado. THANKS B.
	2015-04-20 23:57:40RT @4cast4you: View of the tornado warned storm from the @abc27 @WeatherBug in Mechanisburg, PA || http://t.co/dGjK7md8S0
	2015-04-20 23:57:40RT @poltergi: TORNADO WARNADO
	2015-04-20 23:57:39tornado watch and were stranded http://t.co/V0EGLB0u23
	2015-04-20 23:57:38Lightning, thunder, just had some hail, downtown is flooded, and there's a tornado watch. #fb
	2015-04-20 23:57:38i look like i got hit by a tornado.
	2015-04-20 23:57:37@thegreatgq Tornado warning down here typically means go outside and see if you can see it. Or get in your truck and become a stormchaser.
	2015-04-20 23:57:37Tornado warning? Ight! #StormChasers #Murica
	2015-04-20 23:57:25I should probably watch Sharknado tonight but with an active tornado watch and a fear of tornadoes...not the best idea.
	2015-04-20 23:57:23RT @weatherchannel: Tornado Warning for Chester and York Counties in SC until 6:30 PM EDT http://t.co/JTePmmw9GW
	2015-04-20 23:57:21TORNADO WARNADO
	2015-04-20 23:57:20RT @basiclorenaa: I hope this tornado comes fr &amp; they cancel school for the rest of the week
	2015-04-20 23:57:20RT @LaurieThrasher: #Fire #Tornado http://t.co/oNpShEAdTi
	2015-04-20 23:57:19RT @joanc__: hoping for a tornado &amp; no school tmrw
	2015-04-20 23:57:19Still an area of rotation NW of Mechanicsburg. This is where possible tornado could form. North of New Kingstown. http://t.co/fpQzhfn7ZX
	2015-04-20 23:57:17Tornado Watch for counties south of Watauga &amp; Wilkes is CANCELLED as of 7:38pm Monday April 20.
	2015-04-20 23:57:17Tornado Watch for counties south of Watauga &amp; Wilkes is CANCELLED as of 7:38pm Monday April 20.
	2015-04-20 23:57:15I liked a @YouTube video from @stormchasingvid http://t.co/mmWo1nMlzi 5/25/2008 Parkersburg, Iowa Tornado Footage
	2015-04-20 23:57:15RT @KelseyNaddra: #blessed I #survived that #tornado http://t.co/j8MEaC1t63
	2015-04-20 23:57:15Shippensburg: where classes don't get cancelled for a foot of snow or even a tornado, but do for three inches of snow #LOGIC
	2015-04-20 23:57:05RT @RT_com: #NATO troops to shoot lasers at 'Tornado' military drills in #Estonia http://t.co/OaN0MAjh2q http://t.co/W76ic6Ft9s
	2015-04-20 23:57:03RT @LaurieThrasher: #Fire #Tornado http://t.co/oNpShEAdTi
	2015-04-20 23:57:02one thing I'll miss about college is having the weatherman let me know whether I should drink on a Monday or not. turn up for the tornado...
	2015-04-20 23:57:01#closeFCPS @RyanLMcElveen !! There might be a tornado tonight!! And thunders have already came!! D:
	2015-04-20 23:57:01Plot twist: tornado hits just McGowan so all the freshmen still have to go to school
	2015-04-20 23:56:59Tornado pa http://t.co/QeaQ0DQgkF
	2015-04-20 23:56:57RT @NBCPhiladelphia: FIRST ALERT: Tornado Watch remains in effect for area, TIMELINE of storms HERE: http://t.co/dMEL5JlZ66
	2015-04-20 23:56:56USEmergAlerts: No Subject  PA | MULTI-CNTY  |**TORNADO WARNING**| - |  CUMBERLAND AND PERRY COUNTY IN PA UNTIL 8:15PM EDT.   | SWAT02 |
	2015-04-20 23:56:53RT @mwhit_29: This tornado doesn't wanna throw hands, call it Nico Lesenfants
	2015-04-20 23:56:53RT @4cast4you: View of the tornado warned storm from the @abc27 @WeatherBug in Mechanisburg, PA || http://t.co/dGjK7md8S0
	2015-04-20 23:56:49RT @NWStornado: Tornado Warning including Newville PA, Newburg PA, Orrstown PA until 7:30 PM EDT http://t.co/IaV0Nz2OZW
	2015-04-20 23:56:41Tornado warning.. Wth..
	2015-04-20 23:56:40There's a tornado warning but it's ok as long as people get their ice cream :')
	2015-04-20 23:56:39When the weatherman thinks there's a tornado watch but really it's just all the smoke building up from today
	2015-04-20 23:56:38@michaelflopado tornado, tufao, whatever
	2015-04-20 23:56:37RT @LaurieThrasher: The birth of a tornado http://t.co/LecJIMHQTJ
	2015-04-20 23:56:36tornado warning more like help i cant stop laughing abt infamous 2012 meme "tornado warnado"
	2015-04-20 23:56:32RT @KMazurNews: Stream our tornado warning coverage LIVE at http://t.co/S5Y6k7fIgg or on our mobile news app #CBS21WX
	2015-04-20 23:56:31RT @4cast4you: View of the tornado warned storm from the @abc27 @WeatherBug in Mechanisburg, PA || http://t.co/dGjK7md8S0
	2015-04-20 23:56:21#Fire #Tornado http://t.co/oNpShEAdTi
	2015-04-20 23:56:18Under tornado watch peace
	2015-04-20 23:56:16tornado*
	2015-04-20 23:56:16megustaria traer un tornado para q limpie todo el govierno q tenemo q lo lleve vien lego atodo los K. https://t.co/Ph6geux4bA
	2015-04-20 23:56:15Last time there was a tornado watch and i thought it was a joke but when that mini storm happened i was real live done w life
	2015-04-20 23:56:13With regard to the tornado watches in the east, you have to ask...did the chef arrive to the kitchen too late?  Convection now central PA...
	2015-04-20 23:56:13RT @sarcasticmommy4: Marriage is all about agreeing on a ceiling fan speed somewhere between "light breeze" &amp; "F4 tornado".
	2015-04-20 23:56:12NWStornado: Tornado Warning including Mechanicsburg PA, Camp Hill PA, New Cumberland PA until 8:15 PM EDT http://t.co/w05ukJR0Re
	2015-04-20 23:56:12RT @KateLuft_: DILLSBURG TORNADO 2k15 PART 2 http://t.co/TdKdXtjc4E
	2015-04-20 23:56:10Tornado warning. Oh
	2015-04-20 23:56:10I love tornado warnings. They advise you to stay inside, goto a basement. Yet everyone is out on their porches. #PourFucker
	2015-04-20 23:56:08@thecityash there's gonna be a tornado
	2015-04-20 23:55:57RT @NWStornado: Tornado Warning including Mechanicsburg PA, Camp Hill PA, New Cumberland PA until 8:15 PM EDT http://t.co/bRDfjHSkFy
	2015-04-20 23:55:57Stream our tornado warning coverage LIVE at http://t.co/bjbuDJNUeF or on our mobile news app #CBS21WX
	2015-04-20 23:55:55Tornado Watch until 10?? We don't even get Tornados
	2015-04-20 23:55:53I want a tornado
	2015-04-20 23:55:52RT @mcall: Lehigh County under tornado watch until 10 p.m. Monday. http://t.co/SN2G46XiNq http://t.co/ptAJOmUfZS
	2015-04-20 23:55:51RT @Campagna_Matt: Remember, in the event of a tornado don't talk. That will apparently result in certain death. #WePracticedThis #LCHS
	2015-04-20 23:55:48Fact: Goblin's Dr. Frankenstein is the best song to listen to when trying to outrun a tornado.
